City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,rio gallegos,-51.6226,-69.2181,291.18,55,20,12.35,AR,1676075620
153,talnakh,69.4865,88.3972,258.13,96,100,7.03,RU,1676075599
154,karratha,-20.7377,116.8463,304.34,62,32,6.77,AU,1676075621
155,corralillo,22.9819,-80.5856,297.44,80,0,6.23,CU,1676075622
156,benguela,-12.5763,13.4055,296.29,79,34,1.72,AO,1676075515
157,qorveh,35.1664,47.8045,256.76,93,24,0.99,IR,1676075623
158,verkhnevilyuysk,63.4453,120.3167,234.27,99,83,0.49,RU,1676075623
159,barsovo,61.1667,73.1667,260.22,91,78,6.09,RU,1676075624
160,nemuro,43.3236,145.575,270.87,91,100,5.85,JP,1676075625
161,kavaratti,10.5669,72.642,299.65,79,100,3.58,IN,1676075626
162,cayenne,4.9333,-52.3333,299.17,78,100,4.12,GF,1676075409
163,hami,42.8,93.45,271.28,38,100,4.32,CN,1676075626
164,olinda,-8.0089,-34.8553,301.0,65,40,3.6,BR,1676075609
165,ulladulla,-35.35,150.4667,303.6,39,37,2.57,AU,1676075627
166,charters towers,-20.1,146.2667,304.03,38,55,4.21,AU,1676075567
167,blagoveshchenka,52.8333,79.8667,257.55,96,100,3.65,RU,1676075628
168,ribeira grande,38.5167,-28.7,287.47,81,34,0.89,PT,1676075628
169,noumea,-22.2763,166.4572,303.15,99,87,13.73,NC,1676075629
170,kaeo,-35.1,173.7833,292.57,86,100,7.53,NZ,1676075629
171,obala,4.1667,11.5333,298.08,94,54,2.06,CM,1676075631
172,balkanabat,39.5108,54.3671,272.49,55,12,2.24,TM,1676075631
173,emerald,-23.5333,148.1667,303.9,52,6,0.92,AU,1676075632
174,college,64.8569,-147.8028,257.54,72,75,1.54,US,1676075632
175,lavrentiya,65.5833,-171.0,244.93,87,27,4.65,RU,1676075632
176,plettenberg bay,-34.0527,23.3716,292.79,72,0,3.13,ZA,1676075633
177,rawson,-43.3002,-65.1023,297.37,41,9,6.72,AR,1676075634
178,churapcha,62.0025,132.4325,234.99,98,79,1.17,RU,1676075634
179,taltal,-25.4,-70.4833,293.8,80,14,0.61,CL,1676075635
180,yellowknife,62.456,-114.3525,255.68,85,75,4.63,CA,1676075508
181,saint-augustin,51.226,-58.6502,261.22,93,100,5.82,CA,1676075635
182,vanavara,60.34,102.2797,245.94,98,100,2.43,RU,1676075636
183,bac lieu,9.285,105.7244,298.7,78,98,5.19,VN,1676075636
184,santa maria,-29.6842,-53.8069,300.76,54,0,4.12,BR,1676075637
185,klaksvik,62.2266,-6.589,280.66,84,100,11.42,FO,1676075638
186,richards bay,-28.783,32.0377,295.32,92,100,4.92,ZA,1676075639
187,gold coast,-28.0,153.4333,304.14,52,0,5.14,AU,1676075417
188,esperance,-33.8667,121.9,292.86,66,45,6.28,AU,1676075639
189,hailar,49.2,119.7,253.83,95,99,2.59,CN,1676075640
190,lensk,60.7253,114.9278,250.64,96,100,2.81,RU,1676075595
191,kemijarvi,66.7131,27.4306,255.88,97,71,2.07,FI,1676075641
192,bandundu,-3.3167,17.3667,297.08,80,58,1.24,CD,1676075641
193,cockburn town,21.4612,-71.1419,298.2,77,0,11.5,TC,1676075642
194,mareeba,-17.0,145.4333,302.31,76,100,2.83,AU,1676075643
